Game,NFT,NFT Name,Tier,Owner Wallet,Kills,Survived For (milliseconds)
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/5237,null,null,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,3,148864
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/798,Serpents #798,DELTA,0x877126425de7c3f93ea51f9523c67fa95620669b,0,136234
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/247,Serpents #247,DELTA,0x072c3ee4e4c5e4eabb7f484738797fbf260f056b,5,128518
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5558,null,null,0x153b1c39e758a58a21ea73e5038fb243c84f225b,2,125651
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/337,Avian #337,DELTA,0x877126425de7c3f93ea51f9523c67fa95620669b,0,123541
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/362,Serpents #362,DELTA,0x877126425de7c3f93ea51f9523c67fa95620669b,3,117792
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/278,Insectoids #278,DELTA,0xed125f3efc5068b8627c4adcba6a93e8eae3a1ae,1,115695
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/226,Avian #226,DELTA,0x072c3ee4e4c5e4eabb7f484738797fbf260f056b,2,108501
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5680,null,null,0xf4fa1c4ddd5d68189a8032911cb5a3df8ce881a1,2,106742
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/775,Insectoids #775,DELTA,0x877126425de7c3f93ea51f9523c67fa95620669b,0,103125
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4858,null,null,0x5b164eb61055a5ea9a07205dc339d95a92f861aa,2,102722
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/592,Avian #592,DELTA,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,0,99762
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/385,Avian #385,BETA,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,1,97664
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/139,Insectoids #139,DELTA,0xc28912d37d73d18b6ba1bf861d4dbb8faa09b2e4,0,95079
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4811,null,null,0x0dc0d4e884a5a9d95bee21d132d46d57129a5798,1,92718
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/382,Avian #382,BETA,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,0,87691
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5548,null,null,0x8b18824aa942bd4cd8410c561fa4d05b6a0a5f4a,1,86501
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/748,Avian #748,DELTA,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,0,79878
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5560,null,null,0x1f41aa0117d9cf574c26cacf5bf816127a38867f,0,77804
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/440,Avian #440,BETA,0x0fed63d2c138355e3ce113443c6310d0f82bfbf7,2,75953
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/51,Insectoids #51,DELTA,0x44720a8c68d0aaf43f7c2228ca137037310e4d25,0,72966
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5501,null,null,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,2,72819
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/375,Avian #375,DELTA,0x28ba94326fbf5687620ca59d8bfbd7e8b61c2926,2,70374
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4795,null,null,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,4,68567
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4882,null,null,0xed125f3efc5068b8627c4adcba6a93e8eae3a1ae,1,67075
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/432,Avian #432,DELTA,0x0dc0d4e884a5a9d95bee21d132d46d57129a5798,0,66677
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/5241,null,null,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,0,62966
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5604,null,null,0x28ba94326fbf5687620ca59d8bfbd7e8b61c2926,0,62333
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4946,null,null,0xc28912d37d73d18b6ba1bf861d4dbb8faa09b2e4,0,60265
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/839,null,null,0x0fad711203f44fbd3bcf8ede641277dd1cefa811,0,60185
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5648,null,null,0x959a221c92ba629b703d7a250b54d23298d750da,0,56285
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/35,Avian #35,SIGMA,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,2,55245
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4886,null,null,0x00e1803fbb8b50db3232d8fcb61b9868e89de693,0,54308
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4896,null,null,0x28ba94326fbf5687620ca59d8bfbd7e8b61c2926,1,51744
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4868,null,null,0x88c44ac39ddff25d9a706fc8991469eb56b27fa3,2,49971
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4786,null,null,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,0,48703
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/4965,null,null,0xf4fa1c4ddd5d68189a8032911cb5a3df8ce881a1,0,48681
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5591,null,null,0x00e1803fbb8b50db3232d8fcb61b9868e89de693,0,47666
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/267,Serpents #267,ALPHA,0x153b1c39e758a58a21ea73e5038fb243c84f225b,1,46760
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/631,Serpents #631,ALPHA,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,3,46593
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/595,Serpents #595,ALPHA,0x8f3d1dc71b03a603c0b0b63d86ed9090bf04931b,1,46417
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/598,Hounds #598,DELTA,0x0fed63d2c138355e3ce113443c6310d0f82bfbf7,0,45513
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/101,Insectoids #101,SIGMA,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,3,45222
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/285,Hounds #285,DELTA,0x1553ec813dea924ad8fc984b384cf026386298f3,0,43876
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5543,null,null,0x1553ec813dea924ad8fc984b384cf026386298f3,0,42142
178,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/20,Avian #20,ALPHA,0x88c44ac39ddff25d9a706fc8991469eb56b27fa3,0,40017
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5492,null,null,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,0,39507
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5660,null,null,0xc28912d37d73d18b6ba1bf861d4dbb8faa09b2e4,3,38493
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5556,null,null,0x0fed63d2c138355e3ce113443c6310d0f82bfbf7,0,37435
178,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5587,null,null,0xed125f3efc5068b8627c4adcba6a93e8eae3a1ae,0,36784
178,0x555d46e0ca084b17b423134860035fe4b57c3da4/5239,null,null,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,0,35954
