Rank,NFT,NFT Name,Tier,Owner Wallet,Kills,Survived For (milliseconds)
54,0x555d46e0ca084b17b423134860035fe4b57c3da4/4868,WG #4868,Passport,0x88c44ac39ddff25d9a706fc8991469eb56b27fa3,2,49971
55,0x555d46e0ca084b17b423134860035fe4b57c3da4/4786,WG #4786,Passport,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,0,48703
56,0x555d46e0ca084b17b423134860035fe4b57c3da4/4965,WG #4965,Passport,0xf4fa1c4ddd5d68189a8032911cb5a3df8ce881a1,0,48681
57,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5591,MFER #5591,Passport,0x00e1803fbb8b50db3232d8fcb61b9868e89de693,0,47666
58,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/267,Serpents #267,ALPHA,0x153b1c39e758a58a21ea73e5038fb243c84f225b,1,46760
59,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/631,Serpents #631,ALPHA,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,3,46593
60,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/595,Serpents #595,ALPHA,0x8f3d1dc71b03a603c0b0b63d86ed9090bf04931b,1,46417
61,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/598,Hounds #598,DELTA,0x0fed63d2c138355e3ce113443c6310d0f82bfbf7,0,45513
62,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/101,Insectoids #101,SIGMA,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,3,45222
63,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/285,Hounds #285,DELTA,0x1553ec813dea924ad8fc984b384cf026386298f3,0,43876
64,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5543,MFER #5543,Passport,0x1553ec813dea924ad8fc984b384cf026386298f3,0,42142
65,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/20,Avian #20,ALPHA,0x88c44ac39ddff25d9a706fc8991469eb56b27fa3,0,40017
66,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5492,MFER #5492,Passport,0x5c81b2e5f6f0fcf2930c4e0d061d653d6b0d7de9,0,39507
67,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5660,MFER #5660,Passport,0xc28912d37d73d18b6ba1bf861d4dbb8faa09b2e4,3,38493
68,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5556,MFER #5556,Passport,0x0fed63d2c138355e3ce113443c6310d0f82bfbf7,0,37435
69,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5587,MFER #5587,Passport,0xed125f3efc5068b8627c4adcba6a93e8eae3a1ae,0,36784
70,0x555d46e0ca084b17b423134860035fe4b57c3da4/5239,WG #5239,Passport,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,0,35954
71,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/792,Hounds #792,ALPHA,0x1f41aa0117d9cf574c26cacf5bf816127a38867f,2,34702
72,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/57,Hounds #57,DELTA,0x877126425de7c3f93ea51f9523c67fa95620669b,0,34633
73,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/684,Insectoids #684,DELTA,0x027381ba66e5b7f9d811b8535d9741e01e96e8fe,1,32547
74,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5611,MFER #5611,Passport,0x381b0a36e73d9e250fd7cc635c43da9fd77f1111,0,32210
75,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/548,Hounds #548,ALPHA,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,0,31515
76,0x555d46e0ca084b17b423134860035fe4b57c3da4/4935,WG #4935,Passport,0x959a221c92ba629b703d7a250b54d23298d750da,0,30984
77,0x555d46e0ca084b17b423134860035fe4b57c3da4/5238,WG #5238,Passport,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,0,29496
78,0x555d46e0ca084b17b423134860035fe4b57c3da4/1265,WG #1265,Passport,0x30e64b8e4bacc2baef74ac59d33ab230a2889d50,0,29080
79,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/724,Insectoids #724,DELTA,0x381b0a36e73d9e250fd7cc635c43da9fd77f1111,0,28547
80,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5519,MFER #5519,Passport,0x0dc0d4e884a5a9d95bee21d132d46d57129a5798,1,27266
81,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/268,Avian #268,DELTA,0x959a221c92ba629b703d7a250b54d23298d750da,0,26798
82,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/434,Avian #434,ALPHA,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,1,25010
83,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/773,Insectoids #773,DELTA,0x5b164eb61055a5ea9a07205dc339d95a92f861aa,0,21526
84,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/273,Hounds #273,DELTA,0xf4fa1c4ddd5d68189a8032911cb5a3df8ce881a1,0,20150
85,0x555d46e0ca084b17b423134860035fe4b57c3da4/4851,WG #4851,Passport,0x1f41aa0117d9cf574c26cacf5bf816127a38867f,0,20072
86,0x555d46e0ca084b17b423134860035fe4b57c3da4/4949,WG #4949,Passport,0xc45cc906e4430645e2980a431b844af228216a25,0,19138
87,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/597,Avian #597,DELTA,0x8f3d1dc71b03a603c0b0b63d86ed9090bf04931b,0,18693
88,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/240,Hounds #240,BETA,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,0,18159
89,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/284,Serpents #284,DELTA,0x1553ec813dea924ad8fc984b384cf026386298f3,0,16007
90,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/774,Avian #774,DELTA,0x88c44ac39ddff25d9a706fc8991469eb56b27fa3,0,15634
91,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5496,MFER #5496,Passport,0x877126425de7c3f93ea51f9523c67fa95620669b,0,15378
92,0x555d46e0ca084b17b423134860035fe4b57c3da4/4790,WG #4790,Passport,0x877126425de7c3f93ea51f9523c67fa95620669b,0,15182
93,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5566,MFER #5566,Passport,0x5b164eb61055a5ea9a07205dc339d95a92f861aa,0,14949
94,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/98,Hounds #98,DELTA,0x44720a8c68d0aaf43f7c2228ca137037310e4d25,0,14156
95,0x555d46e0ca084b17b423134860035fe4b57c3da4/4836,WG #4836,Passport,0x1553ec813dea924ad8fc984b384cf026386298f3,0,13167
96,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/542,Hounds #542,BETA,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,0,11162
97,0x555d46e0ca084b17b423134860035fe4b57c3da4/4845,WG #4845,Passport,0x072c3ee4e4c5e4eabb7f484738797fbf260f056b,0,10522
98,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/696,Hounds #696,BETA,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,0,9755
99,0xbf50d1ce435322d801fd2e47e88d94de1488aa61/611,Avian #611,BETA,0xe6d3736d2b07f9708935322ec63a0d2ce765c717,0,5743
100,0xf954197eaf96c372bc1a0fab91d10a93dba59d4e/5506,MFER #5506,Passport,0x3822fbbfa4001ee6348b8f786727388eb4d82e4b,0,4693
